wikidata_id,name,latitude,longitude,administrative_division,nuts_code,toid
,"=== Armagh City, Banbridge and Craigavon (5 položek) ===",,,"Armagh City, Banbridge and Craigavon",,
Q193452,Armagh,54.349444,-6.654444,"Armagh City, Banbridge and Craigavon",,
Q149564,Loughbrickland,54.316,-6.304,"Armagh City, Banbridge and Craigavon",,
Q149559,Waringstown,54.4336,-6.299,"Armagh City, Banbridge and Craigavon",,
,=== Ashover (1 položek) ===,,,Ashover,,
Q602321,Alton,53.174,-1.46,Ashover,,4000000074549813
,=== Babergh (8 položek) ===,,,Babergh,,
Q261791,Acton,52.070711111,0.761019444,Babergh,,4000000074558941; 7000000000015755
Q430326,Brent Eleigh,52.1,0.833,Babergh,,4000000074557355; 7000000000015733
Q541183,Polstead,52.007,0.902,Babergh,,4000000074558934; 7000000000015569
,=== Ballymaguigan (1 položek) ===,,,Ballymaguigan,,
Q574880,Ballymaguigan,54.7399,-6.52481,Ballymaguigan,,
,=== Banbridge (2 položek) ===,,,Banbridge,,
Q170129,Corbet,54.3333,-6.2,Banbridge,,
,=== Bath and North East Somerset (3 položek) ===,,,Bath and North East Somerset,,
Q22889,Bath,51.381388888,-2.359722222,Bath and North East Somerset,,4000000074572822
Q596347,Chewton Keynsham,51.3955,-2.4995,Bath and North East Somerset,,4000000074573499
,=== Bedford (4 položek) ===,,,Bedford,,
Q406914,Thurleigh,52.2147,-0.457835,Bedford,,4000000074578018; 7000000000001106
,=== Belfast (1 položek) ===,,,Belfast,,
Q10686,Belfast,54.596666666,-5.93,Belfast,,
,=== Birmingham (1 položek) ===,,,Birmingham,,
Q2256,Birmingham,52.48,-1.9025,Birmingham,,4000000074540884
,=== Bolsover (4 položek) ===,,,Bolsover,,
Q569245,South Normanton,53.107,-1.343,Bolsover,,4000000074548683; 7000000000013351
,"=== Bournemouth, Christchurch and Poole (1 položek) ===",,,"Bournemouth, Christchurch and Poole",,
Q579935,Stanpit,50.729166666,-1.754444444,"Bournemouth, Christchurch and Poole",,4000000074549529
,=== Braceby and Sapperton (2 položek) ===,,,Braceby and Sapperton,,
Q567841,Sapperton,52.8932,-0.485774,Braceby and Sapperton,,4000000074548786
,=== Bradford (5 položek) ===,,,Bradford,,
Q22905,Bradford,53.794,-1.751,Bradford,,4000000074540943
Q602055,Menston,53.8912,-1.7344,Bradford,,4000000074569898; 7000000000016695
,=== Braintree (8 položek) ===,,,Braintree,,
Q304813,Foxearth,52.0725,0.6742,Braintree,,4000000074559567; 7000000000019875
Q577480,Helions Bumpstead,52.0482,0.4052,Braintree,,4000000074329155; 7000000000020102
Q547689,White Colne,51.936,0.726,Braintree,,4000000074557015; 7000000000019835
,=== Brighstone (2 položek) ===,,,Brighstone,,
Q570823,Brook,50.6525,-1.45135,Brighstone,,4000000074316130
,=== British overseas territory (1 položek) ===,,,British overseas territory,,
Q1410,Gibraltar,36.14,-5.35,British overseas territory,,
,=== Broadland (4 položek) ===,,,Broadland,,
Q589226,Drayton,52.675,1.225,Broadland,,4000000074573565; 7000000000006806
Q577859,Wood Dalling,52.800088888,1.097361111,Broadland,,4000000074580207; 7000000000006644
,=== Brockdish (1 položek) ===,,,Brockdish,,
Q577218,Thorpe Abbotts,52.3718,1.2212,Brockdish,,4000000074545963
,=== Bromsgrove (4 položek) ===,,,Bromsgrove,,
Q582689,Barnt Green,52.36,-1.999,Bromsgrove,,4000000074340788; 7000000000003191
,=== Broughton West (2 položek) ===,,,Broughton West,,
Q431994,Foxfield,54.2667,-3.21667,Broughton West,,4000000074560170
,=== Bubwith (1 položek) ===,,,Bubwith,,
Q74,Breighton,53.796883333,-0.924147222,Bubwith,,4000000074544200
,=== Buckinghamshire (16 položek) ===,,,Buckinghamshire,,
Q548588,Cheddington,51.847,-0.664,Buckinghamshire,,4000000074546864; 7000000000011829
Q589687,Chenies,51.675,-0.532,Buckinghamshire,,4000000074562333; 7000000000011680
Q592123,Medmenham,51.554,-0.838,Buckinghamshire,,4000000074568227; 7000000000011854
Q302613,Stoke Poges,51.546,-0.584,Buckinghamshire,,4000000074564965; 7000000000011696
Q628619,Turweston,52.0347,-1.1246,Buckinghamshire,,4000000074545722; 7000000000012089
,=== Buckland Monachorum (1 položek) ===,,,Buckland Monachorum,,
Q540088,Yelverton,50.492,-4.086,Buckland Monachorum,,4000000074554402
,=== Burlescombe (1 položek) ===,,,Burlescombe,,
Q585075,Appledore,50.9206,-3.3302,Burlescombe,,4000000074576686
,=== Caddington (2 položek) ===,,,Caddington,,
Q547343,Aley Green,51.854,-0.452,Caddington,,4000000074550968
,=== Cambridge (1 položek) ===,,,Cambridge,,
Q350,Cambridge,52.208055555,0.1225,Cambridge,,4000000074577087
,=== Canterbury (1 položek) ===,,,Canterbury,,
Q29303,Canterbury,51.278333333,1.0775,Canterbury,,4000000074565139
,=== Cardiff (1 položek) ===,,,Cardiff,,
Q10690,Cardiff,51.481666666,-3.179166666,Cardiff,,4000000074554911
,=== Carlisle (1 položek) ===,,,Carlisle,,
Q192896,Carlisle,54.894722222,-2.936388888,Carlisle,,4000000074551822
,=== Castleboy (2 položek) ===,,,Castleboy,,
Q170271,Cloghy,54.4167,-5.46667,Castleboy,,
,=== Causeway Coast and Glens (1 položek) ===,,,Causeway Coast and Glens,,
Q575071,Ballykelly,55.0445,-7.01576,Causeway Coast and Glens,,
,=== Central Bedfordshire (3 položek) ===,,,Central Bedfordshire,,
Q304034,Beeston,52.119,-0.295,Central Bedfordshire,,4000000074570509
Q581929,Tilsworth,51.9096,-0.5783,Central Bedfordshire,,4000000074548141; 7000000000001022
,=== Chelmsford (1 položek) ===,,,Chelmsford,,
Q210985,Chelmsford,51.7361,0.4798,Chelmsford,,4000000074541699
,=== Cherwell (4 položek) ===,,,Cherwell,,
Q305230,Mixbury,52.004,-1.114,Cherwell,,4000000074547431; 7000000000008508
Q305375,Noke,51.814,-1.213,Cherwell,,4000000074546904; 7000000000008463
,=== Cheshire East (1 položek) ===,,,Cheshire East,,
Q601231,Barnett Brook,52.99,-2.56,Cheshire East,,4000000074323258
,=== Cheshire West and Chester (3 položek) ===,,,Cheshire West and Chester,,
Q170263,Chester,53.2,-2.883333333,Cheshire West and Chester,,4000000074556976
Q585161,Upton-by-Chester,53.214,-2.884,Cheshire West and Chester,,4000000074555890; 7000000000012636
,=== Chichester (8 položek) ===,,,Chichester,,
Q549078,Boxgrove,50.859280555,-0.712661111,Chichester,,4000000074562496; 7000000000016434
Q207639,Chichester,50.8365,-0.7792,Chichester,,4000000074562679; 7000000000016518
,=== Chirbury with Brompton (2 položek) ===,,,Chirbury with Brompton,,
Q547050,Priestweston,52.5715,-3.05051,Chirbury with Brompton,,4000000074563004
,=== Chislet (2 položek) ===,,,Chislet,,
Q590895,Upstreet,51.3242,1.1978,Chislet,,4000000074566825
,=== Choppington (1 položek) ===,,,Choppington,,
Q576423,Stakeford,55.163,-1.586,Choppington,,4000000074556926
,=== City of Bristol (1 položek) ===,,,City of Bristol,,
Q23154,Bristol,51.453611111,-2.5975,City of Bristol,,4000000074573839
,=== City of Derby (1 položek) ===,,,City of Derby,,
Q43475,Derby,52.921666666,-1.476666666,City of Derby,,4000000074550123
,=== City of Edinburgh (2 položek) ===,,,City of Edinburgh,,
Q23436,Edinburgh,55.953333333,-3.189166666,City of Edinburgh,GB-EDH,4000000074558316
Q239193,Kirkliston,55.95,-3.4,City of Edinburgh,,4000000074559809
,=== City of Kingston upon Hull (1 položek) ===,,,City of Kingston upon Hull,,
Q128147,Kingston upon Hull,53.744444444,-0.3325,City of Kingston upon Hull,,4000000074542156
,=== City of Leicester (1 položek) ===,,,City of Leicester,,
Q83065,Leicester,52.636111111,-1.133055555,City of Leicester,,4000000074560267
,=== City of Milton Keynes (1 položek) ===,,,City of Milton Keynes,,
Q204234,Milton Keynes,52.033333333,-0.766666666,City of Milton Keynes,,4000000074547175
,=== City of Nottingham (1 položek) ===,,,City of Nottingham,,
Q41262,Nottingham,52.955,-1.149166666,City of Nottingham,,4000000074563302
,=== City of Peterborough (1 položek) ===,,,City of Peterborough,,
Q172438,Peterborough,52.5725,-0.243055555,City of Peterborough,,4000000074550599
,=== City of Plymouth (2 položek) ===,,,City of Plymouth,,
Q43382,Plymouth,50.371388888,-4.142222222,City of Plymouth,,4000000074555542
Q113365,Tamerton Foliot,50.427919444,-4.15825,City of Plymouth,,4000000074558078
,=== City of Portsmouth (1 položek) ===,,,City of Portsmouth,,
Q72259,Portsmouth,50.805833333,-1.087222222,City of Portsmouth,,4000000074562880
,=== City of Southampton (1 položek) ===,,,City of Southampton,,
Q79848,Southampton,50.906666666,-1.404444444,City of Southampton,,4000000074564709
,=== City of Stoke-on-Trent (1 položek) ===,,,City of Stoke-on-Trent,,
Q134902,Stoke-on-Trent,53.0,-2.183333333,City of Stoke-on-Trent,,4000000074575785
,=== City of Wolverhampton (1 položek) ===,,,City of Wolverhampton,,
Q126269,Wolverhampton,52.584166666,-2.125277777,City of Wolverhampton,,4000000074561827
,=== City of York (1 položek) ===,,,City of York,,
Q42462,York,53.95,-1.083333333,City of York,,4000000074557107
,=== Colchester (1 položek) ===,,,Colchester,,
Q184163,Colchester,51.888611,0.903611,Colchester,,4000000074559170
,=== Coniston (1 položek) ===,,,Coniston,,
Q544903,Bowmanstead,54.35,-3.09,Coniston,,4000000074562808
,=== Copeland (2 položek) ===,,,Copeland,,
Q583782,Lowca,54.583333333,-3.583333333,Copeland,,4000000074563449; 7000000000013163
,=== Cornwall (26 položek) ===,,,Cornwall,,
Q517315,Altarnun,50.590425874,-4.53926602,Cornwall,,4000000074558165; 7000000000024295
Q114530,Ludgvan,50.144,-5.495,Cornwall,,4000000074574832; 7000000000024431
Q305008,Morvah,50.161,-5.639,Cornwall,,4000000074578214; 7000000000024472
Q202331,Portreath,50.261,-5.288,Cornwall,,4000000074574834; 7000000000024397
Q597094,Skewjack,50.065,-5.682,Cornwall,,
Q516902,St Teath,50.593,-4.736,Cornwall,,4000000074558170; 7000000000024556
Q180803,Truro,50.26,-5.051,Cornwall,,4000000074574269; 7000000000024348
Q189654,Zennor,50.192,-5.568,Cornwall,,4000000074575677; 7000000000024476
,=== Cotswold (2 položek) ===,,,Cotswold,,
Q577807,Adlestrop,51.9443,-1.65,Cotswold,,4000000074565937; 7000000000020156
,=== County Antrim (1 položek) ===,,,County Antrim,,
Q574848,Ballyrashane,55.142,-6.605,County Antrim,,
,=== County Borough of Sunderland (1 položek) ===,,,County Borough of Sunderland,,
Q188304,Sunderland,54.9,-1.380277777,County Borough of Sunderland,,4000000074553839
,=== County Down (33 položek) ===,,,County Down,,
Q149542,Annahilt,54.4376,-6.00197,County Down,,
Q116416,Ballynahatty,54.5422,-5.95667,County Down,,
Q116618,Ballyskeagh,54.5339,-6.00528,County Down,,
Q116618,Ballyskeagh,54.534814,-6.002611,County Down,,
Q170133,Clough,54.289,-5.835,County Down,,
Q149555,Drumbeg,54.529934,-5.990562,County Down,,
Q149555,Drumbeg,54.5342,-5.98528,County Down,,
Q205313,Drumbo,54.516,-5.959,County Down,,
Q135049,Greyabbey,54.535,-5.56,County Down,,
Q205207,Helen's Bay,54.67,-5.735,County Down,,
Q232723,Hilltown,54.194,-6.144,County Down,,
Q205098,Kilcoo,54.2167,-6.03333,County Down,,
Q170278,Killough,54.25068,-5.64081,County Down,,
Q233539,Killyleagh,54.4,-5.65,County Down,,
Q170141,Loughinisland,54.338055555,-5.823055555,County Down,,
Q149546,Moira,54.48,-6.232,County Down,,
Q135041,Scarva,54.3317,-6.3646,County Down,,
Q149551,Seahill,54.6336,-5.53528,County Down,,
Q149532,Strangford,54.3707,-5.55547,County Down,,
,=== County Durham (2 položek) ===,,,County Durham,,
Q179815,Durham,54.783333333,-1.566666666,County Durham,,4000000074559702
Q603985,Ebchester,54.883333333,-1.833333333,County Durham,,4000000074575925
,=== County Londonderry (5 položek) ===,,,County Londonderry,,
Q574915,Articlave,55.1333,-6.76667,County Londonderry,,
Q574901,Ballyronan,54.709,-6.532,County Londonderry,,
Q619264,Castlerock,55.15,-6.783333333,County Londonderry,,
Q482376,Upperlands,54.877,-6.64372,County Londonderry,,
,=== Coventry (1 položek) ===,,,Coventry,,
Q6225,Coventry,52.416666666,-1.516666666,Coventry,,4000000074568994
,=== Craven (7 položek) ===,,,Craven,,
Q553810,Airton,54.028911111,-2.149580555,Craven,,4000000074568267; 7000000000021860
Q93671,Burnsall,54.049588888,-1.953069444,Craven,,7000000000021842
Q600342,Hellifield,54.0045,-2.2215,Craven,,4000000074564029; 7000000000021870
,=== Cumberland (3 položek) ===,,,Cumberland,,
Q192896,Carlisle,54.894722222,-2.936388888,Cumberland,,4000000074551822
Q598303,Westlinton,54.971,-2.948,Cumberland,,4000000074550329; 7000000000013130
,=== Dacorum (2 položek) ===,,,Dacorum,,
Q546163,Aldbury,51.8,-0.6,Dacorum,,4000000074546623; 7000000000004010
,=== Darlington (4 položek) ===,,,Darlington,,
Q547014,Killerby,54.575,-1.703,Darlington,,4000000074557816; 7000000000002426
,=== Derbyshire Dales (4 položek) ===,,,Derbyshire Dales,,
Q569865,Marston Montgomery,52.9374,-1.8006,Derbyshire Dales,,4000000074551264; 7000000000013570
,=== Derry City and Strabane (1 položek) ===,,,Derry City and Strabane,,
Q163584,Derry,54.991666666,-7.341666666,Derry City and Strabane,,
,=== Doncaster (3 položek) ===,,,Doncaster,,
Q58900,Doncaster,53.522777777,-1.1325,Doncaster,,4000000074574343
Q598000,Fenwick,53.636111111,-1.1,Doncaster,,4000000074547076; 7000000000009160
,=== Dorset (18 položek) ===,,,Dorset,,
Q539724,Cerne Abbas,50.8095,-2.481,Dorset,,4000000074553010; 7000000000014626
Q528437,Hazelbury Bryan,50.8789,-2.3632,Dorset,,4000000074553379; 7000000000014535
Q597734,Kimmeridge,50.617,-2.118,Dorset,,4000000074553048; 7000000000014367
Q302200,Langton Herring,50.64075,-2.546769444,Dorset,,4000000074549307; 7000000000014524
Q572416,Lytchett Matravers,50.756,-2.07,Dorset,,4000000074551525; 7000000000014575
Q570388,Mappowder,50.853,-2.378,Dorset,,4000000074552248; 7000000000014538
Q582068,Okeford Fitzpaine,50.8971,-2.2756,Dorset,,4000000074553368; 7000000000014547
Q578322,Winterborne Whitechurch,50.8,-2.233333333,Dorset,,4000000074551481; 7000000000014452
,=== Dover (2 položek) ===,,,Dover,,
Q578630,Alkham,51.1347,1.2211,Dover,,4000000074566727; 7000000000017980
,=== Downholland (1 položek) ===,,,Downholland,,
Q582056,Haskayne,53.565,-2.968,Downholland,,4000000074578315
,=== Drighlington (1 položek) ===,,,Drighlington,,
Q602899,Adwalton,53.7514,-1.65454,Drighlington,,4000000074572335
,=== Dumfries and Galloway (2 položek) ===,,,Dumfries and Galloway,,
Q489551,Twynholm,54.8646,-4.08328,Dumfries and Galloway,,4000000074566006
,=== Dundee City (1 položek) ===,,,Dundee City,,
Q123709,Dundee,56.460555555,-2.97,Dundee City,,4000000074556889
,=== East Ayrshire (2 položek) ===,,,East Ayrshire,,
Q205448,Kilmaurs,55.6394,-4.53028,East Ayrshire,,4000000074570061
,=== East Cambridgeshire (4 položek) ===,,,East Cambridgeshire,,
Q209176,Ely,52.398055555,0.262222222,East Cambridgeshire,,4000000074578730; 7000000000001223
,=== East Hampshire (6 položek) ===,,,East Hampshire,,
Q499351,Bentley,51.194011111,-0.877561111,East Hampshire,,4000000074561930; 7000000000017894
Q428424,East Worldham,51.137,-0.93247,East Hampshire,,4000000074565828
,=== East Hertfordshire (6 položek) ===,,,East Hertfordshire,,
Q591902,Benington,51.8962,-0.1126,East Hertfordshire,,4000000074570581; 7000000000003754
,=== East Lindsey (10 položek) ===,,,East Lindsey,,
Q579769,Asterby,53.2966,-0.104675,East Lindsey,,4000000074549887; 7000000000005377
Q582157,Hainton,53.3429,-0.223086,East Lindsey,,4000000074554050; 7000000000005475
Q628593,Low Toynton,53.2195,-0.090706,East Lindsey,,4000000074553680; 7000000000005429
Q305370,North Ormsby,53.4218,-0.06227,East Lindsey,,4000000074552110; 7000000000005239
,=== East Riding of Yorkshire (12 položek) ===,,,East Riding of Yorkshire,,
Q426193,Bishop Wilton,53.985858333,-0.785958333,East Riding of Yorkshire,,4000000074557476; 7000000000004528
Q605241,Grindale,54.1251,-0.269097222,East Riding of Yorkshire,,4000000074571052
Q152145,Hayton,53.90185,-0.754072222,East Riding of Yorkshire,,4000000074544467; 7000000000004487
Q576488,Nunburnholme,53.921852777,-0.707719444,East Riding of Yorkshire,,4000000074543646; 7000000000004488
Q588718,Woodmansey,53.826711111,-0.398419444,East Riding of Yorkshire,,7000000000004260
,=== East Suffolk (12 položek) ===,,,East Suffolk,,
Q188020,Dunwich,52.2775,1.631111111,East Suffolk,,4000000074544280; 7000000000015199
Q550253,Hemley,52.0323,1.33,East Suffolk,,4000000074543715; 7000000000015246
Q304218,Kessingland,52.419,1.723,East Suffolk,,4000000074545949; 7000000000015370
Q599291,Ringsfield,52.43,1.52,East Suffolk,,4000000074545671; 7000000000015451
,=== East Sussex (2 položek) ===,,,East Sussex,,
Q1022488,Brighton and Hove,50.827777777,-0.152777777,East Sussex,GB-BNH,4000000074570696; 7000000000036749
,=== Ebberston and Yedingham (2 položek) ===,,,Ebberston and Yedingham,,
Q430847,Yedingham,54.2035,-0.632636,Ebberston and Yedingham,,4000000074554876
,=== Eden (2 položek) ===,,,Eden,,
Q532424,Morland,54.595,-2.62,Eden,,4000000074546310; 7000000000012726
,=== Elham (2 položek) ===,,,Elham,,
Q601716,Wingmore,51.1763,1.1291,Elham,,4000000074567032
,=== Ellel (1 položek) ===,,,Ellel,,
Q117813,Galgate,53.993,-2.784,Ellel,,4000000074561618
,=== Ellington and Linton (1 položek) ===,,,Ellington and Linton,,
Q594221,Ellington,55.2209,-1.5621,Ellington and Linton,,4000000074557285
,=== Exeter (1 položek) ===,,,Exeter,,
Q134672,Exeter,50.725555555,-3.526944444,Exeter,,4000000074556577
,=== Featherstone (2 položek) ===,,,Featherstone,,
Q570367,Ackton,53.6921,-1.37602,Featherstone,,4000000074570879
,=== Fenland (2 položek) ===,,,Fenland,,
Q546711,Wimblington,52.5,0.08,Fenland,,4000000074576601; 7000000000001662
,=== Fife (2 položek) ===,,,Fife,,
Q571601,Dairsie,56.3453,-2.95,Fife,,4000000074543454
Q211950,Dunfermline,56.071388888,-3.461666666,Fife,,4000000074558327
,=== Fimber (1 položek) ===,,,Fimber,,
Q586039,Towthorpe,54.0542,-0.624789,Fimber,,4000000074558595
,=== Forest of Dean (1 položek) ===,,,Forest of Dean,,
Q579166,Ruardean Woodside,51.847,-2.5422,Forest of Dean,,4000000074578389
,=== Glasgow City (1 položek) ===,,,Glasgow City,,
Q4093,Glasgow,55.861111111,-4.25,Glasgow City,GB-GLG,4000000074580391
,=== Gloucester (1 položek) ===,,,Gloucester,,
Q170497,Gloucester,51.865277777,-2.245833333,Gloucester,,4000000074577905
,=== Great Yarmouth (2 položek) ===,,,Great Yarmouth,,
Q594592,Fleggburgh,52.668519444,1.614711111,Great Yarmouth,,4000000074573244; 7000000000006497
,=== Greater London (2 položek) ===,,,Greater London,,
Q179351,City of Westminster,51.4975,-0.137222222,Greater London,GB-WSM,7000000000011164
Q84,London,51.507222222,-0.1275,Greater London,GB-LND,4000000074813508
,=== Gwynedd (3 položek) ===,,,Gwynedd,,
Q234178,Bangor,53.228,-4.128,Gwynedd,,4000000074564164; 7000000000020777
Q302496,Carmel,53.070833333,-4.249722222,Gwynedd,,4000000074565704
,=== Hambleton (12 položek) ===,,,Hambleton,,
Q259967,Beningbrough,54.013013888,-1.193697222,Hambleton,,4000000074558226; 7000000000021394
Q601124,Streetlam,54.3851,-1.52287,Hambleton,,4000000074547537
Q251914,Thornton-le-Beans,54.308411111,-1.390469444,Hambleton,,4000000074547526; 7000000000021757
Q590749,Thornton-on-the-Hill,54.160019444,-1.185869444,Hambleton,,7000000000021443
Q596401,Whenby,54.1203,-1.036761111,Hambleton,,4000000074559358; 7000000000021266
,=== Harrogate (2 položek) ===,,,Harrogate,,
Q601608,Tockwith,53.9651,-1.2869,Harrogate,,4000000074547456; 7000000000021427
,=== Hawkley (1 položek) ===,,,Hawkley,,
Q596894,Empshott,51.076,-0.927,Hawkley,,4000000074563257
,=== Headley (1 položek) ===,,,Headley,,
Q603844,Headley Down,51.1189,-0.79943,Headley,,4000000074563262
,=== Healeyfield (2 položek) ===,,,Healeyfield,,
Q569922,Castleside,54.833,-1.879,Healeyfield,,4000000074554493
,=== Herefordshire (14 položek) ===,,,Herefordshire,,
Q261874,Aconbury,51.998,-2.706,Herefordshire,,4000000074813676; 7000000000003613
Q597899,Ballingham,51.982,-2.621,Herefordshire,,4000000074579592; 7000000000003396
Q262514,Brilley,52.136,-3.081,Herefordshire,,4000000074322313; 7000000000003542
Q204720,Hereford,52.056388888,-2.716111111,Herefordshire,,4000000074579014; 7000000000041561
Q512408,Kingstone,52.015555555,-2.841666666,Herefordshire,,4000000074579879; 7000000000003472
Q600872,Thruxton,52.007,-2.82,Herefordshire,,4000000074579759; 7000000000003473
,=== Highland (3 položek) ===,,,Highland,,
Q160493,Inverness,57.483888888,-4.225833333,Highland,,4000000074558240
Q515476,Uig,57.58,-6.36,Highland,,4000000074570269
,=== Hinckley and Bosworth (2 položek) ===,,,Hinckley and Bosworth,,
Q580423,Shackerstone,52.657222222,-1.449444444,Hinckley and Bosworth,,4000000074549736; 7000000000023653
,=== Holme East Waver (1 položek) ===,,,Holme East Waver,,
Q550013,Newton Arlosh,54.8667,-3.25,Holme East Waver,,4000000074551450
,=== Hordley (1 položek) ===,,,Hordley,,
Q579721,Bagley,52.83,-2.89,Hordley,,4000000074557225
,=== Huntingdonshire (6 položek) ===,,,Huntingdonshire,,
Q598276,Farcet,52.53,-0.23,Huntingdonshire,,4000000074575754; 7000000000001596
Q598947,Haddon,52.517,-0.316,Huntingdonshire,,4000000074575463; 7000000000001635
Q522398,Kimbolton,52.3,-0.38,Huntingdonshire,,4000000074577553; 7000000000001541
,=== Ireland (4 položek) ===,,,Ireland,,
Q205103,Dunnaval,54.045,-6.03278,Ireland,,
Q205103,Dunnaval,54.046303,-6.034129,Ireland,,
,=== Isle of Anglesey (2 položek) ===,,,Isle of Anglesey,,
Q628633,Trearddur,53.283,-4.617,Isle of Anglesey,,4000000074564180
Q628633,Trearddur,53.290713826,-4.642110132,Isle of Anglesey,,4000000074564180
,=== Keenaght (3 položek) ===,,,Keenaght,,
Q482375,Ardgarvan,55.023,-6.929,Keenaght,,
,=== Kemble and Ewen (1 položek) ===,,,Kemble and Ewen,,
Q257034,Kemble,51.67667,-2.01806,Kemble and Ewen,,4000000074569779
,=== Kilmegan (2 položek) ===,,,Kilmegan,,
Q170136,Ballylough,54.267,-5.933,Kilmegan,,
,=== King's Lynn and West Norfolk (2 položek) ===,,,King's Lynn and West Norfolk,,
Q304424,Bawsey,52.7497,0.487661111,King's Lynn and West Norfolk,,4000000074549846; 7000000000007205
,=== Kirkburton (1 položek) ===,,,Kirkburton,,
Q572369,Kirkheaton,53.6552,-1.729,Kirkburton,,4000000074572330
,=== Lakes (1 položek) ===,,,Lakes,,
Q599760,Elterwater,54.4342,-3.03774,Lakes,,4000000074547829
,=== Lancaster (5 položek) ===,,,Lancaster,,
Q604146,Claughton,54.092,-2.668,Lancaster,,4000000074566954; 7000000000004960
Q205905,Lancaster,54.048888888,-2.801388888,Lancaster,,4000000074562398
Q550481,Scotforth,54.027,-2.791,Lancaster,,4000000074561816
,=== Leeds (1 položek) ===,,,Leeds,,
Q39121,Leeds,53.7975,-1.543611111,Leeds,,4000000074572682
,=== Lewes (2 položek) ===,,,Lewes,,
Q531102,Rodmell,50.84,0.01,Lewes,,4000000074568952; 7000000000002750
,=== Lichfield (6 položek) ===,,,Lichfield,,
Q207371,Lichfield,52.6835,-1.82653,Lichfield,,4000000074549374; 7000000000014792
Q593965,Streethay,52.691,-1.791,Lichfield,,4000000074553118; 7000000000186448
,=== Lincoln (1 položek) ===,,,Lincoln,,
Q180057,Lincoln,53.25,-0.55,Lincoln,,4000000074551786
,=== Liphook (2 položek) ===,,,Liphook,,
Q569891,Longmoor,51.0735,-0.870217,Liphook,,
