wikidata_id,name,latitude,longitude,administrative_division,population,postal_code
Q100033,Noorbeek,50.7681,5.8131,Eijsden-Margraten,1147,6255
Q100032,Oost-Maarland,50.7947,5.7131,Eijsden-Margraten,,
Q100027,Rijckholt,50.7994,5.7311,Eijsden-Margraten,200,
,=== Elburg (1 položek) ===,,,Elburg,,
Q58538,'t Harde,52.4153,5.8808,Elburg,,
,=== Flevoland (1 položek) ===,,,Flevoland,,
Q83178,Almere,52.375833333,5.225555555,Flevoland,214715,1300–1379
,=== Friesland (1 položek) ===,,,Friesland,,
Q181500,Buitenpost,53.25,6.15,Friesland,,
,=== Gelderland (39 položek) ===,,,Gelderland,,
Q1310,Arnhem,51.983333333,5.916666666,Gelderland,164096,6800–6846
Q816699,Culemborg,51.95,5.233333333,Gelderland,29121,4100–4107
Q73147,Deil,51.8842,5.2442,Gelderland,1351,
Q73101,Dieren,52.0521,6.0974,Gelderland,2864,
Q165736,Doesburg,52.016666666,6.133333333,Gelderland,11064,6980–6984
Q171267,Garderen,52.2331,5.7139,Gelderland,1361,
Q171266,Geesteren,52.1389,6.5264,Gelderland,2116,7274
Q171264,Gorssel,52.2,6.2,Gelderland,2592,
Q58797,Hattem,52.474444444,6.069722222,Gelderland,12228,8050–8052
Q1305,Wageningen,51.964444444,5.663055555,Gelderland,39635,6700–6709
,=== Geldrop-Mierlo (1 položek) ===,,,Geldrop-Mierlo,,
Q2636411,Geldrop,51.4222,5.5578,Geldrop-Mierlo,28001,5660–5667
,=== Groningen (1 položek) ===,,,Groningen,,
Q749,Groningen,53.218888888,6.5675,Groningen,238147,9700–9747
,=== Gronsveld (9 položek) ===,,,Gronsveld,,
Q99999,Eckelrade,50.8067,5.7656,Gronsveld,,6251–6252
Q100003,Gronsveld,50.8086,5.73,Gronsveld,,6247
Q100027,Rijckholt,50.7994,5.7311,Gronsveld,200,
,=== Gulpen (3 položek) ===,,,Gulpen,,
Q99988,Gulpen,50.8156,5.8886,Gulpen,,6270–6271
Q99996,Reijmerstok,50.7992,5.8364,Gulpen,,
,=== Gulpen-Wittem (32 položek) ===,,,Gulpen-Wittem,,
Q99991,Epen,50.7767,5.9119,Gulpen-Wittem,,6285
Q99997,Eys,50.8247,5.9378,Gulpen-Wittem,,6287
Q99988,Gulpen,50.8156,5.8886,Gulpen-Wittem,,6270–6271
Q99994,Nijswiller,50.8081,5.9589,Gulpen-Wittem,,6286
Q100059,Partij,50.8114,5.9142,Gulpen-Wittem,,6286
Q99996,Reijmerstok,50.7992,5.8364,Gulpen-Wittem,,
Q99989,Slenaken,50.7678,5.8622,Gulpen-Wittem,507,6277
Q99995,Wahlwiller,50.8097,5.9375,Gulpen-Wittem,,6286
,=== Heerenveen (1 položek) ===,,,Heerenveen,,
Q1061677,Heerenveen,52.95,5.933333333,Heerenveen,28497,8440–8448
,=== Houthem (2 položek) ===,,,Houthem,,
Q100115,Broekhem,50.8703,5.8242,Houthem,,
Q100112,Houthem,50.8725,5.79306,Houthem,,
,=== IJsselham (1 položek) ===,,,IJsselham,,
Q81152,Kuinre,52.7864,5.8433,IJsselham,,
,=== Kampen (1 položek) ===,,,Kampen,,
Q10014,Kampen,52.555,5.919722222,Kampen,38415,8260–8279
,=== Kuinre (1 položek) ===,,,Kuinre,,
Q81152,Kuinre,52.7864,5.8433,Kuinre,,
,=== Leeuwarden (2 položek) ===,,,Leeuwarden,,
Q25390,Leeuwarden,53.2,5.783333333,Leeuwarden,93765,8900
,=== Leidschendam-Voorburg (1 položek) ===,,,Leidschendam-Voorburg,,
Q809821,Voorburg,52.07,4.355,Leidschendam-Voorburg,43090,2270–2275
,=== Limburg (53 položek) ===,,,Limburg,,
Q73031,Kessel,51.2919,6.0533,Limburg,950,5995
Q100006,Mesch,50.7631,5.7328,Limburg,211,
Q100027,Rijckholt,50.7994,5.7311,Limburg,200,
Q99989,Slenaken,50.7678,5.8622,Limburg,507,6277
Q72842,Thorn,51.166666666,5.833333333,Limburg,2463,6017
,=== Lochem (18 položek) ===,,,Lochem,,
Q171264,Gorssel,52.2,6.2,Lochem,2592,
Q58519,Harfsen,52.2075,6.2972,Lochem,1678,7217
,=== Maasgouw (1 položek) ===,,,Maasgouw,,
Q72842,Thorn,51.166666666,5.833333333,Maasgouw,2463,6017
,=== Margraten (6 položek) ===,,,Margraten,,
Q100002,Banholt,50.79,5.8075,Margraten,,6262
Q100001,Bemelen,50.847222,5.763889,Margraten,,6268
Q99999,Eckelrade,50.8067,5.7656,Margraten,,6251–6252
Q100037,Margraten,50.816666666,5.816666666,Margraten,,6269
Q100034,Mheer,50.7828,5.7931,Margraten,960,6261
Q100033,Noorbeek,50.7681,5.8131,Margraten,1147,6255
,=== Mheer (2 položek) ===,,,Mheer,,
Q100002,Banholt,50.79,5.8075,Mheer,,6262
Q100034,Mheer,50.7828,5.7931,Mheer,960,6261
,=== Middelburg (1 položek) ===,,,Middelburg,,
Q52101,Middelburg,51.499722222,3.613611111,Middelburg,49956,4330–4338
,=== Montferland (2 položek) ===,,,Montferland,,
Q176259,Nieuw-Dijk,51.933333333,6.15,Montferland,,
Q184256,Zeddam,51.9025,6.2583,Montferland,,
,=== Nieuwkoop (16 položek) ===,,,Nieuwkoop,,
Q197054,Zevenhoven,52.1825,4.7789,Nieuwkoop,710,
,=== Noardeast-Fryslân (2 položek) ===,,,Noardeast-Fryslân,,
Q2128609,Ezonstad,53.35871,6.14668,Noardeast-Fryslân,,
Q201829,Lioessens,53.3806,6.0886,Noardeast-Fryslân,,
,=== Noorbeek (1 položek) ===,,,Noorbeek,,
Q100033,Noorbeek,50.7681,5.8131,Noorbeek,1147,6255
,=== Noordoostpolder (5 položek) ===,,,Noordoostpolder,,
Q69307,Schokland,52.638611111,5.771666666,Noordoostpolder,5,
,=== North Brabant (2 položek) ===,,,North Brabant,,
Q2636411,Geldrop,51.4222,5.5578,North Brabant,28001,5660–5667
Q9844,Helmond,51.47968,5.65559,North Brabant,92627,5700–5709
,=== North Holland (5 položek) ===,,,North Holland,,
Q9918,Enkhuizen,52.7,5.283333333,North Holland,18637,1600–1602
Q9920,Haarlem,52.380277777,4.640555555,North Holland,162543,2063
Q9974,Weesp,52.3069,5.0417,North Holland,19334,1380–1383
Q9974,Weesp,52.3075,5.04167,North Holland,19334,1380–1383
,=== Oldebroek (1 položek) ===,,,Oldebroek,,
Q58636,Hattemerbroek,52.4739,6.0225,Oldebroek,,
,=== Oost (1 položek) ===,,,Oost,,
Q100032,Oost-Maarland,50.7947,5.7131,Oost,,
,=== Oost Gelre (1 položek) ===,,,Oost Gelre,,
Q58540,Harreveld,51.9778,6.5164,Oost Gelre,,
,=== Oud-Valkenburg (2 položek) ===,,,Oud-Valkenburg,,
Q100102,Oud-Valkenburg,50.8547,5.8544,Oud-Valkenburg,,
Q100098,Sibbe,50.8433,5.8256,Oud-Valkenburg,,
,=== Oude IJsselstreek (1 položek) ===,,,Oude IJsselstreek,,
Q171268,Gendringen,51.87333,6.37639,Oude IJsselstreek,,
,=== Overijssel (2 položek) ===,,,Overijssel,,
Q59605,Blokzijl,52.7264,5.9617,Overijssel,961,8356
Q10006,Hengelo,52.265555555,6.793055555,Overijssel,81049,7550–7559
,=== Peel en Maas (18 položek) ===,,,Peel en Maas,,
Q73031,Kessel,51.2919,6.0533,Peel en Maas,950,5995
,=== Purmerend (2 položek) ===,,,Purmerend,,
Q9954,Purmerend,52.505,4.963888888,Purmerend,81515,1481
,=== Rheden (1 položek) ===,,,Rheden,,
Q73101,Dieren,52.0521,6.0974,Rheden,2864,
,=== Roermond (1 položek) ===,,,Roermond,,
Q9783,Roermond,51.193333333,5.987222222,Roermond,57308,6040–6045
,=== Rotterdam (2 položek) ===,,,Rotterdam,,
Q178782,Pernis,51.88833,4.38972,Rotterdam,4860,
Q34370,Rotterdam,51.92,4.48,Rotterdam,664311,3000–3089
,=== Sint Geertruid (1 položek) ===,,,Sint Geertruid,,
Q99999,Eckelrade,50.8067,5.7656,Sint Geertruid,,6251–6252
,=== Sittard-Geleen (1 položek) ===,,,Sittard-Geleen,,
Q73022,Sittard,51.0,5.866666666,Sittard-Geleen,37085,6130–6137
,=== South Holland (27 položek) ===,,,South Holland,,
Q204239,Barendrecht,51.85,4.533333333,South Holland,48643,2990–2994
Q36600,Den Haag,52.08,4.31,South Holland,548320,2491–2599
Q26421,Dordrecht,51.795833333,4.678333333,South Holland,122070,3300–3329
Q225535,Driebruggen,52.0433,4.7986,South Holland,3914,
Q43631,Leiden,52.16,4.49,South Holland,124093,2300–2334
Q497130,Maassluis,51.918888888,4.256666666,South Holland,33567,3140–3146
Q506745,Rijswijk,52.045555555,4.33,South Holland,55220,2280–2289
Q204709,Schiedam,51.916666666,4.4,South Holland,79279,3100–3125
Q210007,Vlaardingen,51.916666666,4.35,South Holland,73924,3130–3139
Q197054,Zevenhoven,52.1825,4.7789,South Holland,710,
Q26432,Zoetermeer,52.061111111,4.493333333,South Holland,125267,2701–2729
,=== Steenwijk (2 položek) ===,,,Steenwijk,,
Q59605,Blokzijl,52.7264,5.9617,Steenwijk,961,8356
Q81152,Kuinre,52.7864,5.8433,Steenwijk,,
,=== Steenwijkerland (2 položek) ===,,,Steenwijkerland,,
Q59605,Blokzijl,52.7264,5.9617,Steenwijkerland,961,8356
Q81152,Kuinre,52.7864,5.8433,Steenwijkerland,,
,=== Stichtse Vecht (17 položek) ===,,,Stichtse Vecht,,
Q81493,Vreeland,52.2297,5.0311,Stichtse Vecht,612,3633
,=== Súdwest-Fryslân (2 položek) ===,,,Súdwest-Fryslân,,
Q23070,Sneek,53.0325,5.66,Súdwest-Fryslân,33855,8600–8608
Q230406,Zurich,53.1119,5.3939,Súdwest-Fryslân,,8751
,=== Tilburg (1 položek) ===,,,Tilburg,,
Q9871,Tilburg,51.5572,5.0911,Tilburg,,5000–5049
,=== Tynaarlo (1 položek) ===,,,Tynaarlo,,
Q225591,Eelde,53.1333,6.5667,Tynaarlo,7102,9760–9761
,=== Tytsjerksteradiel (1 položek) ===,,,Tytsjerksteradiel,,
Q182853,Tietjerk,53.2133,5.9114,Tytsjerksteradiel,,
,=== Utrecht (18 položek) ===,,,Utrecht,,
Q10045,IJsselstein,52.02,5.0422,Utrecht,33819,3401–3404
Q81493,Vreeland,52.2297,5.0311,Utrecht,612,3633
,=== Vaals (2 položek) ===,,,Vaals,,
Q99992,Holset,50.792778,5.985,Vaals,,
Q99990,Vijlen,50.7897,5.9631,Vaals,,
,=== Valkenburg aan de Geul (6 položek) ===,,,Valkenburg aan de Geul,,
Q100138,Berg,50.86,5.7817,Valkenburg aan de Geul,,
Q100115,Broekhem,50.8703,5.8242,Valkenburg aan de Geul,,
Q100112,Houthem,50.8725,5.79306,Valkenburg aan de Geul,,
Q100102,Oud-Valkenburg,50.8547,5.8544,Valkenburg aan de Geul,,
Q100098,Sibbe,50.8433,5.8256,Valkenburg aan de Geul,,
Q100068,Vilt,50.8572,5.8106,Valkenburg aan de Geul,,
,=== Valkenburg-Houthem (4 položek) ===,,,Valkenburg-Houthem,,
Q100115,Broekhem,50.8703,5.8242,Valkenburg-Houthem,,
Q100112,Houthem,50.8725,5.79306,Valkenburg-Houthem,,
Q100102,Oud-Valkenburg,50.8547,5.8544,Valkenburg-Houthem,,
Q100098,Sibbe,50.8433,5.8256,Valkenburg-Houthem,,
,=== Vijfheerenlanden (24 položek) ===,,,Vijfheerenlanden,,
Q174398,Hagestein,51.9797,5.1206,Vijfheerenlanden,,4124
Q388575,Leerdam,51.893888888,5.091388888,Vijfheerenlanden,1831,"4140–4145, 4163"
Q10052,Vianen,51.983333333,5.1,Vijfheerenlanden,19967,4130–4133
,=== West Betuwe (16 položek) ===,,,West Betuwe,,
Q73147,Deil,51.8842,5.2442,West Betuwe,1351,
Q73277,Enspijk,51.8836,5.2131,West Betuwe,,
Q171246,Gellicum,51.8761,5.1547,West Betuwe,,
,=== Wijdemeren (33 položek) ===,,,Wijdemeren,,
Q93485,Loosdrecht,52.2,5.133333333,Wijdemeren,2660,
,=== Wijk bij Duurstede (1 položek) ===,,,Wijk bij Duurstede,,
Q739353,Dorestad,51.975,5.34,Wijk bij Duurstede,10000,
,=== Wittem (28 položek) ===,,,Wittem,,
Q99991,Epen,50.7767,5.9119,Wittem,,6285
Q99997,Eys,50.8247,5.9378,Wittem,,6287
Q99994,Nijswiller,50.8081,5.9589,Wittem,,6286
Q100059,Partij,50.8114,5.9142,Wittem,,6286
Q99989,Slenaken,50.7678,5.8622,Wittem,507,6277
Q99995,Wahlwiller,50.8097,5.9375,Wittem,,6286
,=== Zaltbommel (1 položek) ===,,,Zaltbommel,,
Q171245,Gameren,51.8011,5.2003,Zaltbommel,,5311
,=== Zeeland (1 položek) ===,,,Zeeland,,
Q2590944,Reimerswaal,51.507539,4.172486,Zeeland,0,
,=== Zutphen (2 položek) ===,,,Zutphen,,
Q109535,Zutphen,52.14,6.195,Zutphen,47423,7200–7207
